"workmate","academic","nonacademic","pets","sex","age","coursehours","degree","job","siblings","apps","devices","pseudo_id"
"0","2","2","0","1","26","13","1","1","1","0","1","001"
"0","2","2","1","0","28","13","1","0","0","5","2","002"
"0","3","3","0","0","22","13","1","0","1","4","1","003"
"0","3","3","0","0","22","14","1","1","2","3","1","004"
"0","2","2","0","0","23","10.5","1","1","0","5","2","005"
"1","3","3","1","1","23","13","1","1","2","7","1","006"
"0","2","2","0","0","23","13","1","1","1","4","1","007"
"1","0","0","0","0","25","13","0","1","0","6","3","008"
"0","3","3","0","1","30","13","1","1","2","8","1","009"
"1","3","3","1","1","25","14","1","0","1","2","2","010"
"0","0","0","0","1","24","13","1","0","0","5","3","011"
"0","2","2","0","0","22","13","0","0","0","6","2","012"
"2","3","3","1","0","25","13","1","1","1","7","4","013"
"0","0","1","1","0","22","13","1","0","5","1","1","014"
"1","2","2","1","1","25","13","1","1","0","5","4","015"
"0","3","3","0","0","22","13","1","1","1","6","3","016"
"0","0","0","1","1","25","13","1","0","1","13","3","017"
"0","3","3","0","0","23","14","1","0","3","3","1","018"
"0","1","0","1","1","24","13","0","0","0","2","3","019"
"0","0","0","0","0","23","11","1","0","0","7","3","020"
"0","0","0","0","0","21","12","1","0","3","2","1","021"
"0","0","0","1","1","23","13","1","0","2","3","1","022"
"0","2","2","0","0","24","13","0&1","0","0","4","3","023"
"0","2","3","0","0","21","13","1","1","3","5","2","024"
