"Treatment","Period","Day","Tot.Scr.Time","Tot.Soc.Time","Pickups","1st.Pickup","pseudo_id"
"N","P0","Fr","99","11","158","5:00-5:59","001"
"N","P0","Sa","83","15","94","5:00-5:59","001"
"N","P0","Su","135","12","145","2:00-2:59","001"
"N","P0","Mo","95","30","177","5:00-5:59","001"
"N","P0","Tu","153","16","142","5:00-5:59","001"
"N","P0","We","106","19","162","5:00-5:59","001"
"N","P0","Th","107","13","158","6:00-6:59","001"
"N","P0","Fi","124","3","102","7:00-7:59","001"
"N","P0","Sa","223","20","174","3:00-3:59","001"
"N","P0","Su","127","16","126","7:00-7:59","001"
"N","P0","Mo","132","21","159","6:00-6:59","001"
"N","P0","Tu","108","32","193","7:00-7:59","001"
"N","P0","We","100","24","130","7:00-7:59","001"
"N","P0","Th","116","18","134","6:00-6:59","001"
"A","P1","Fr","14","4","26","7:00-7:59","001"
"A","P1","Sa","4","2","7","6:00-6:59","001"
"A","P1","Su","7","2","25","11:00-11:59","001"
"A","P1","Mo","13","5","28","9:00-9:59","001"
"N","W","Tu","88","21","73","7:00-7:59","001"
"N","W","We","86","24","113","6:00-6:59","001"
"N","W","Th","122","11","136","6:00-6:59","001"
"P","P2","Fr","113","6","113","5:00-5:59","001"
"P","P2","Sa","33","4","49","8:00-8:59","001"
"P","P2","Su","101","14","76","5:00-5:59","001"
"P","P2","Mo","102","24","114","6:00-6:59","001"
"N","P0","Fr","521","366","130","7:16","002"
"N","P0","Sa","325","174","114","10:30","002"
"N","P0","Su","499","259","103","9:30","002"
"N","P0","Mo","325","143","125","9:00","002"
"N","P0","Tu","648","288","103","7:30","002"
"N","P0","We","912","248","110","10:05","002"
"N","P0","Th","768","229","108","6:52","002"
"N","P0","Fr","527","176","84","9:00","002"
"N","P0","Sa","602","229","81","8:30","002"
"N","P0","Su","554","211","104","7:00","002"
"N","P0","Mo","578","293","173","9:30","002"
"N","P0","Tu","735","267","173","6:00","002"
"N","P0","We","466","335","151","9:00","002"
"N","P0","Th","376","270","152","8:25","002"
"B","P1","Fr","483","232","201","7:54","002"
